location,title,company,salary,summary
Dublin,Data Scientist,b'\n\nTelnyx\n',NA,b'\nData scientists seek patterns from data and drive their interpretation into software implementations and business decisions....'
Dublin,Business Intelligence / Data Engineer,b'\n\n\nAmazon\n',NA,"b'\n5+ years working experience with Data modeling, SQL, ETL and Data Warehousing. You should have excellent business and communication skills to be able to work...'"
Dublin,"Graduate Data Science role, Dublin based",b'\n\nFirst Derivatives Public Limited Company\n',NA,b'\nFirst Derivatives plc is currently recruiting for a number of HQ and Overseas roles in our Data Scientist stream....'
Dublin,Data Center Technician,b'\n\n\nAmazon\n',NA,"b'\nNetwork Engineers, Systems Engineers, Software Developers, Database Engineers, Technical Operations) and external customers (Hardware Vendors, Contractors,...'"
Dublin,Data Engineers,b'\n\nOpenjaw Technologies\n',NA,b'\nPrior work collaborating with Data Scientists on TensorFlow or SparkML deployments. Prior work solving complex data integration and data quality / curation...'
Dublin,Data Engineer,b'\n\n\nAmazon\n',NA,"b'\nIndustry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of...'"
Dublin,Data Center Engineer - Edge Operations,b'\n\n\nAmazon\n',NA,b'\nThe Data Center Engineer will be responsible for working with Biz development on site qualification and selection....'
Dublin,Data Science Engineer,b'\n\n\nLuxoft\n',NA,"b'\nWorking with large, complex data sets. We are looking for driven data scientist with experience in FS sector, supporting one of the TOP investment Bank working...'"
Dublin,Consultant Digital Engineer - Data Supply Chain,b'\n\n\nAccenture\n',NA,b'\nETL / Data Integration:. Data modelling and Data architecture to meet business requirements in a sustainable way. Data Modelling and architecture....'
Dublin,The Dock - Data Engineer,b'\n\n\nAccenture\n',NA,b'\nWe\xe2\x80\x99re looking for Data Engineers to join our growing organisation. We\xe2\x80\x99re looking for talented Data Engineers with a strong interest in new and emerging...'
Dublin,Junior Big Data Platform Engineer,b'\n\n\nEquifax\n',NA,b'\nBig Data (1+ years):. The Big Data Engineer role is a skilled position requiring a high level of technical knowledge....'
Dublin,Data Engineer,b'\n\n\nDunnes\n',NA,"b'\nWe are currently looking for a data engineer, ideally with experience of big data and analytics technologies. Understanding of the analytical use of data within...'"
Dublin,Assistant Resident Engineer – Civil Engineering (Water/Waste...,b'\n\n\nRPS Group\n',NA,"b'\nAssistant Resident Engineer \xe2\x80\x93 Civil Engineering (Water/Wastewater). Ability to define problems, collect data, establish facts, draw valid conclusions, and make...'"
Dublin,Software Engineering/Site Reliability Engineering Intern 201...,b'\n\n\nGoogle\n',NA,"b""\nWe're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."""
Dublin,Data Engineer – Big Data - Analytics Delivery,b'\n\n\nAccenture\n',NA,"b'\nData Engineer \xe2\x80\x93 Big Data (Consultants, Managers/Senior Managers). Mentoring the next wave of data engineers and providing your skills and experience to enable...'"
Dublin,Data Analyst,b'\n\n\nHubSpot\n',NA,b'\nData management and data warehousing best practices for accessing data on a system of shared resources. We\xe2\x80\x99re the authority on business data....'
Dublin,Data Engineer,b'\n\n\nFacebook\n',NA,"b'\nDesign, build and launch extremely efficient & reliable data pipelines to move data (both large and small amounts) to our ridiculously large Data Warehouse....'"
Dublin,Research Engineer - Artificial Intelligence,b'\n\n\nIBM\n',NA,"b'\nThe IBM Research Lab in Dublin seeks talented, experienced and enthusiastic research engineers to join our team....'"
Dublin,Senior Data Scientist,b'\n\n\nAncestry\n',NA,b'\nWe\xe2\x80\x99re looking for a Senior Data Scientist to join and help grow this exciting team. In this role you will be a member of the global Data Science & Machine...'
Dublin,"Summer Trainee Engineering Program, STEP 2017",b'\n\n\nGoogle\n',NA,"b'\nCollaborate on scalability issues involving access to massive amounts of data and information. Be matched with a Google engineer, other than your manager, to...'"
Dublin,Data Warehouse Engineer,b'\n\nCar Trawler\n',NA,"b'\nGather, document, examine and manage data integration and data management requirements. Optimise data integration platforms to provide optimal performance under...'"
Dublin,Data Warehouse Engineer,b'\n\nCabforce\n',NA,"b'\nData Integration/ETL, Data Lake/Warehouse/Data Mart design, Data Management, Data Virtualization/Federation, and Data Modelling....'"
Dublin,Data Warehouse Engineer,b'\n\n\nCartrawler\n',NA,"b'\nData Integration/ETL, Data Lake/Warehouse/Data Mart design, Data Management, Data Virtualization/Federation, and Data Modelling....'"
Dublin,Business Intelligence Engineer - Tableau Analyst,b'\n\n\nGroupon\n',NA,"b'\nAs the Business Intelligence Engineer, you will create data visualizations and maintain the underlying platform for business users to be more productive....'"
Dublin,Data Center Manager,b'\n\n\nAmazon\n',NA,"b'\nTechnical depth to pass at least one of our Network Engineer, Systems Engineer or Developer Support Engineer skill set....'"
Dublin,"Software Engineering Intern, PhD 2017",b'\n\n\nGoogle\n',NA,"b""\nWe're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."""
Dublin,Senior Laboratory Scientist,b'\n\nGenomics Medicine Ireland\n',NA,"b'\nSenior Laboratory Scientist. Data driven with strong analytical skills. From sample preparation, library construction, data generation, data processing to...'"
Dublin,Senior Data Scientist,b'\n\nCar Trawler\n',NA,b'\nAnd targeted data analyses. Develop and maintain the ranking and recommendation algorithms used to optimize....'
Dublin,Software Engineer - Cloud Data Protection,b'\n\n\nVeritas Technologies\n',NA,"b""\nSoftware Engineer \xe2\x80\x93 Cloud Data Protection. Data is an organization's digital currency; Did you know that the International Data Corporation (IDC) predicts that..."""
Dublin,Data Engineer,"b'\n\nOneview Healthcare, plc\n'",NA,"b'\nExperience performing data transformation tasks like combining, breaking down and mapping data. Experience in data cleansing;...'"
Dublin,Data Centre Operations Engineer (2 year FTC),b'\n\n\nElectronic Arts\n',NA,b'\nMinimum of three years\xe2\x80\x99 experience as a data centre engineer. Identify and help create documentation for the global data centre knowledge base....'
Dublin,Senior Data Scientist,b'\n\n\nCartrawler\n',NA,b'\nPreferred data capabilities:. And targeted data analyses. Familiarity with Amazon data infrastructure. 5+ years of experience in data science and quantitative...'
Dublin,Facility engineer data centre,b'\n\nZentrys Ireland\n',NA,b'\nData centre facility engineer (electrical/mechanical)*. As the facility engineer your role is to help the chief engineer manage the data centre operations from...'
Dublin,Senior Data Scientist - Software,b'\n\n\nWeb Summit\n',NA,"b""\nExperience working with large datasets and imperfect data. You're interested in network analysis, machine learning and big data...."""
Dublin,Data Technologist,b'\n\n\nTeagasc\n',NA,b'\nResearch data mining. \xef\x82\xb7 Skills with data. Permanent Data Technologist \xe2\x80\x93 DS1547. \xef\x82\xb7 Maintain existing databases and data stores....'
Dublin,Data Scientist,b'\n\n\nUnitedHealth Group\n',NA,"b'\nCollaborate with fellow data scientists, business analysts and subject matter experts to design and oversee the development of working prototypes of data...'"
